scaled,problem_size,cores,time,speed_up,efficiency,serial_fraction
false,266112000,6,0.6154006666666666,2.6444803981362823,0.4407467330227137,0.25377534310547706
false,266112000,7,0.5852189999999999,2.7808649411587805,0.3972664201655401,0.2528670724226251
false,266112000,8,0.5376773333333333,3.0267502442604983,0.3783437805325623,0.23472840290247035
false,266112000,9,0.5199193333333333,3.1301298021872626,0.34779220024302915,0.23441001526961466
false,266112000,10,0.5011836666666666,3.2471429303029966,0.32471429303029964,0.23107004166229989
false,266112000,11,0.4930623333333333,3.3006273040528344,0.30005702764116676,0.23326998133031016
false,266112000,12,0.4731536666666667,3.439506263292898,0.2866255219410748,0.22626116766886029
false,354816000,1,2.1804253333333334,1.0,1.0,0
false,354816000,2,1.5722319999999999,1.3868343433623878,0.6934171716811939,0.4421333085471395
false,354816000,3,1.1978576666666665,1.8202708001201036,0.6067569333733679,0.3240532122478855
false,354816000,4,0.9707003333333334,2.24623939897689,0.5615598497442225,0.2602513638011911
false,354816000,5,0.8498156666666667,2.5657626928506456,0.5131525385701291,0.2371845722455374
false,354816000,6,0.8058616666666666,2.7057067279950866,0.4509511213325144,0.2435070466373838
false,354816000,7,0.7459313333333334,2.923091222873955,0.417584460410565,0.23245418783735775
false,354816000,8,0.7146116666666668,3.051203100984917,0.3814003876231146,0.231702368598595
false,354816000,9,0.6733216666666667,3.238311554903179,0.3598123949892421,0.22240326275790845
false,354816000,10,0.6922640000000001,3.149702040454701,0.3149702040454701,0.24165594330864837
false,354816000,11,0.6603636666666667,3.30185539180179,0.3001686719819809,0.2331460253320606
false,354816000,12,0.6300163333333334,3.4609028654812652,0.2884085721234388,0.22430030193163875
false,709632000,1,4.373309666666667,1.0,1.0,0
false,709632000,2,3.1233186666666666,1.4002124449677245,0.7001062224838622,0.4283546808828005
false,709632000,3,2.3771296666666664,1.8397438423286125,0.6132479474428708,0.31533089851324647
false,709632000,4,1.8906770000000002,2.3130919065851367,0.5782729766462842,0.24309570069573802
false,709632000,5,1.6486173333333334,2.652713627500378,0.5305427255000756,0.2212155835599415
false,709632000,6,1.6007473333333333,2.7320424501722322,0.4553404083620387,0.23923182816004568
false,709632000,7,1.485722,2.943558530240965,0.420508361462995,0.22967899953320378
false,709632000,8,1.3783063333333334,3.172959131726643,0.3966198914658304,0.21732938820455075
false,709632000,9,1.326932,3.295805411781965,0.36620060130910725,0.21634296763343766
false,709632000,10,1.3299976666666666,3.2882085256791176,0.32882085256791177,0.2267966287520814
false,709632000,11,1.2821466666666665,3.4109277669741376,0.31008434245219435,0.22249290373446376
false,709632000,12,1.2868146666666667,3.3985544149843903,0.2832128679153659,0.23008300093419995
false,1064448000,1,6.610525,1.0,1.0,0
false,1064448000,2,4.656243333333333,1.4197120998115076,0.7098560499057538,0.4087363207410404
false,1064448000,3,3.4744733333333335,1.902597707854044,0.634199235951348,0.28839577794501964
false,1064448000,4,2.890768,2.2867711971351556,0.5716927992837889,0.2497303920641704
false,1064448000,5,2.5027286666666666,2.6413270795369215,0.5282654159073843,0.22324695592760532
false,1064448000,6,2.440113333333333,2.7091057245974914,0.4515176207662486,0.24295059772105843
false,1064448000,7,2.255903,2.9303232452813797,0.4186176064687685,0.23146915966079343
false,1064448000,8,2.111109,3.131304447093921,0.39141305588674014,0.22212082787891818
false,1064448000,9,2.0023946666666665,3.301309731814441,0.3668121924238268,0.21577384171453856
false,1064448000,10,2.0233323333333333,3.2671474137466627,0.3267147413746663,0.22897489371256577
false,1064448000,11,2.0201853333333335,3.272236903676824,0.29747608215243854,0.23616147986229033
