processors,problem_size,scalable,time,speed_up,efficiency,serial_fraction
7,41025600,false,0.250224,6.412506394270733,0.9160723420386762,0.015269474201594694
10,5544000,true,0.315504,7.083523505248745,0.7083523505248744,0.04574742268041236
11,14414400,false,0.062718,9.1991294365254,0.8362844942295818,0.019576532495827196
2,9979200,true,0.400349,1.9624577556082319,0.9812288778041159,0.01913021785283342
11,27720000,false,0.123525,8.754826958105646,0.795893359827786,0.025644973368841546
2,23284800,true,0.933772,1.9435386796776941,0.9717693398388471,0.029050782941798303
8,27720000,true,1.150958,7.6341551994077985,0.9542693999259748,0.006846015253370442
6,18849600,true,0.771298,5.730905564386268,0.9551509273977113,0.009390991793198399
6,45460800,true,1.878123,5.66858400647881,0.9447640010798016,0.011693078664527323
7,14414400,false,0.090540,6.37233267064281,0.9103332386632585,0.01641647210941659
