problem_size,block_size,grid_size,cpu_time,gpu_time,errors
131072,512,1,1.414000,1.337000,0
131072,512,1,1.408000,1.314000,0
131072,512,1,0.848000,1.108000,0
131072,544,1,0.843000,1.060000,0
131072,544,1,0.846000,1.060000,0
131072,544,1,0.848000,1.061000,0
131072,544,1,1.404000,1.217000,0
131072,544,1,1.408000,1.240000,0
131072,544,1,0.849000,1.062000,0
131072,544,1,0.850000,1.061000,0
131072,544,1,0.849000,1.059000,0
131072,544,1,1.029000,1.059000,0
131072,544,1,0.849000,1.060000,0
131072,576,1,0.973000,1.020000,0
131072,576,1,0.851000,1.020000,0
131072,576,1,0.848000,1.019000,0
131072,576,1,0.849000,1.019000,0
131072,576,1,0.850000,1.021000,0
131072,576,1,1.411000,1.161000,0
131072,576,1,0.850000,1.019000,0
131072,576,1,0.849000,1.021000,0
131072,576,1,0.850000,1.020000,0
131072,576,1,0.847000,1.020000,0
131072,608,1,1.408000,1.234000,0
131072,608,1,0.850000,0.982000,0
131072,608,1,0.843000,0.981000,0
131072,608,1,0.850000,1.102000,0
131072,608,1,0.847000,0.983000,0
131072,608,1,0.850000,0.982000,0
131072,608,1,1.409000,1.099000,0
131072,608,1,0.851000,0.982000,0
131072,608,1,0.850000,0.982000,0
131072,608,1,0.971000,0.981000,0
131072,640,1,0.850000,0.949000,0
131072,640,1,0.852000,0.949000,0
131072,640,1,1.412000,1.150000,0
131072,640,1,0.852000,0.948000,0
131072,640,1,0.845000,0.949000,0
131072,640,1,0.851000,0.949000,0
131072,640,1,0.843000,0.950000,0
131072,640,1,1.416000,1.056000,0
131072,640,1,0.851000,0.950000,0
131072,640,1,1.026000,0.948000,0
131072,672,1,0.852000,0.919000,0
131072,672,1,0.851000,0.919000,0
131072,672,1,0.851000,0.920000,0
131072,672,1,1.412000,1.031000,0
131072,672,1,0.849000,0.918000,0
131072,672,1,0.848000,0.919000,0
131072,672,1,0.842000,0.919000,0
131072,672,1,0.847000,0.919000,0
131072,672,1,0.850000,0.919000,0
131072,672,1,1.412000,1.012000,0
131072,704,1,0.848000,0.890000,0
131072,704,1,0.848000,0.890000,0
131072,704,1,0.848000,0.891000,0
131072,704,1,0.848000,0.891000,0
131072,704,1,1.409000,0.998000,0
131072,704,1,0.850000,0.891000,0
131072,704,1,0.853000,0.890000,0
131072,704,1,0.850000,0.890000,0
131072,704,1,0.841000,0.890000,0
131072,704,1,0.850000,0.889000,0
131072,736,1,1.404000,0.949000,0
131072,736,1,0.849000,0.866000,0
131072,736,1,0.849000,0.866000,0
131072,736,1,0.849000,0.866000,0
131072,736,1,0.850000,0.866000,0
131072,736,1,0.844000,0.865000,0
131072,736,1,1.416000,0.921000,0
131072,736,1,0.843000,0.866000,0
131072,736,1,0.842000,0.866000,0
131072,736,1,0.849000,0.866000,0
131072,768,1,1.032000,0.841000,0
131072,768,1,1.407000,0.871000,0
131072,768,1,0.845000,0.842000,0
131072,768,1,0.848000,0.841000,0
